#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Standard_B1s","MaxResourceVolumeMB","4096"
"Standard_B1s","OSVhdSizeMB","1047552"
"Standard_B1s","vCPUs","1"
"Standard_B1s","MemoryPreservingMaintenanceSupported","True"
"Standard_B1s","HyperVGenerations","V1,V2"
"Standard_B1s","MemoryGB","1"
"Standard_B1s","MaxDataDiskCount","2"
"Standard_B1s","CpuArchitectureType","x64"
"Standard_B1s","LowPriorityCapable","False"
"Standard_B1s","PremiumIO","True"
"Standard_B1s","VMDeploymentTypes","IaaS"
"Standard_B1s","vCPUsAvailable","1"
"Standard_B1s","vCPUsPerCore","1"
"Standard_B1s","CombinedTempDiskAndCachedIOPS","400"
"Standard_B1s","CombinedTempDiskAndCachedReadBytesPerSecond","10485760"
"Standard_B1s","CombinedTempDiskAndCachedWriteBytesPerSecond","10485760"
"Standard_B1s","UncachedDiskIOPS","320"
"Standard_B1s","UncachedDiskBytesPerSecond","10485760"
"Standard_B1s","EphemeralOSDiskSupported","True"
"Standard_B1s","EncryptionAtHostSupported","True"
"Standard_B1s","CapacityReservationSupported","False"
"Standard_B1s","AcceleratedNetworkingEnabled","False"
"Standard_B1s","RdmaEnabled","False"
"Standard_B1s","MaxNetworkInterfaces","2"
"Standard_B20ms","MaxResourceVolumeMB","163840"
"Standard_B20ms","OSVhdSizeMB","1047552"
"Standard_B20ms","vCPUs","20"
"Standard_B20ms","MemoryPreservingMaintenanceSupported","True"
"Standard_B20ms","HyperVGenerations","V1,V2"
"Standard_B20ms","MemoryGB","80"
"Standard_B20ms","MaxDataDiskCount","32"
"Standard_B20ms","CpuArchitectureType","x64"
"Standard_B20ms","LowPriorityCapable","False"
"Standard_B20ms","PremiumIO","True"
"Standard_B20ms","VMDeploymentTypes","IaaS"
"Standard_B20ms","vCPUsAvailable","20"
"Standard_B20ms","CombinedTempDiskAndCachedIOPS","10800"
